game_id,season,team,over,batter,batter_id,bowler,bowler_id,non_striker,non_striker_id,wides,noballs,legbyes,byes,player_out,player_out_id,fielders_name,fielders_id,wicket_type,runs_batter,runs_extras,runs_total,team_over,over_ball,inning,runs_cumulative,powerplay,wicket
1345095,2022/23,Australia,13,EA Perry,be150fc8,Fatima Sana,ea9c54de,A Gardner,bc969efb,0,0,0,0,,,,,,1,0,1,Australia_13,1,1,1,0,0
1394802,2023,Japan,13,Erika Oda,4c8a1197,S Sigaiwasa,b1414505,A Chandel,78fa5f6d,0,0,0,0,,,,,,4,0,4,Japan_13,1,1,4,0,0
1412551,2023/24,Afghanistan,18,Najibullah Zadran,1212cbec,Junaid Siddique,84dc72db,Sharafuddin Ashraf,7e678d00,0,0,0,0,,,,,,6,0,6,Afghanistan_18,1,1,6,0,0
1201670,2019/20,Spain,14,Farzan Afzal,6ebf4d4e,BA Pai,716bf559,R Panchal,91cd337c,0,0,0,0,,,,,,6,0,6,Spain_14,1,1,6,0,0
875467,2015,Afghanistan,17,Asghar Stanikzai,88679525,Amjad Javed,18eaf2fa,Samiullah Shenwari,61646132,0,0,0,0,,,,,,6,0,6,Afghanistan_17,1,1,6,0,0
1418542,2023/24,Japan,18,C Hinze,626af7ff,Ateeq Iqbal,29b322c7,R Drake,57b3c398,0,0,0,0,C Hinze,626af7ff,Anas Khan,66a7f213,caught,0,0,0,Japan_18,1,1,0,0,1
1286971,2021/22,Hong Kong,19,Iqra Sahar,aaccb8ca,ER Oza,fdc6b34d,Chan Ka Man,c4022bff,0,0,0,0,Iqra Sahar,aaccb8ca,Chaya Mughal,77b26349,caught,0,0,0,Hong Kong_19,1,1,0,0,1
1349129,2022/23,Tanzania,19,AM Kimote,34e36b65,J Miyaji,414d8a10,AA Hussein,60ef3ddb,0,0,0,0,,,,,,1,0,1,Tanzania_19,1,1,1,0,0
1393330,2023,Rwanda,19,E Rukiriza,3ac13a94,JJ Nyambo,ffb3b559,Z Bimenyimana,ba57fb08,0,0,0,0,,,,,,0,0,0,Rwanda_19,1,1,0,0,0
966735,2015/16,Hong Kong,19,Haseeb Amjad,fb0abc20,AV Lalcheta,b858be20,Waqas Khan,35971419,0,0,0,0,,,,,,4,0,4,Hong Kong_19,1,1,4,0,0
