game_id,season,team,over,batter,batter_id,bowler,bowler_id,non_striker,non_striker_id,wides,noballs,legbyes,byes,player_out,player_out_id,fielders_name,fielders_id,wicket_type,runs_batter,runs_extras,runs_total,wicket
211048,2004/05,Australia,17,RT Ponting,7d415ea5,AR Adams,525c3f54,MEK Hussey,48fd7349,0,0,0,0,,,,,,1,0,1,0
237242,2005/06,West Indies,13,WW Hinds,60beb01b,JS Patel,f5821615,S Chanderpaul,881a9bdd,0,0,0,0,,,,,,0,0,0,0
225263,2006,England,9,ME Trescothick,ea42ddb9,Shahid Afridi,0dc00542,JWM Dalrymple,1afdbdbf,0,0,0,0,,,,,,1,0,1,0
238195,2005/06,South Africa,0,LE Bosman,73e749e1,B Lee,dd09ff8e,GC Smith,72861603,0,0,0,0,,,,,,1,0,1,0
251487,2006/07,Sri Lanka,5,ST Jayasuriya,f233bbb4,AR Adams,525c3f54,DPMD Jayawardene,d18f9182,0,0,0,0,,,,,,6,0,6,0
211028,2005,Australia,2,ML Hayden,d8699ab7,D Gough,fcbf5a30,A Symonds,bd77eb62,0,0,0,0,ML Hayden,d8699ab7,KP Pietersen,39f01cdb,caught,0,0,0,1
211048,2004/05,Australia,4,DR Martyn,69762509,DR Tuffey,43936951,RT Ponting,7d415ea5,0,0,0,0,,,,,,2,0,2,0
237242,2005/06,West Indies,11,WW Hinds,60beb01b,JS Patel,f5821615,S Chanderpaul,881a9bdd,0,0,0,0,,,,,,1,0,1,0
255954,2006/07,South Africa,2,LE Bosman,73e749e1,Z Khan,91a4a398,GC Smith,72861603,0,0,0,0,,,,,,1,0,1,0
226374,2005/06,South Africa,8,SM Pollock,88fccd6c,SR Clark,a3bfec5d,MV Boucher,f3cb53a1,0,0,0,0,,,,,,0,0,0,0
251487,2006/07,New Zealand,18,PD McGlashan,024fe464,LPC Silva,1be70c88,AR Adams,525c3f54,0,0,0,0,,,,,,1,0,1,0
211028,2005,Australia,5,JN Gillespie,74234d66,J Lewis,6c75310b,B Lee,dd09ff8e,0,0,0,0,,,,,,0,0,0,0
238195,2005/06,South Africa,5,HH Gibbs,e1d1b294,ML Lewis,8b8745fd,GC Smith,72861603,0,0,0,0,,,,,,0,0,0,0
211028,2005,England,18,VS Solanki,7ee2ce62,JN Gillespie,74234d66,PD Collingwood,a386e91b,0,0,0,0,,,,,,1,0,1,0
211028,2005,England,3,GO Jones,2e929b99,GD McGrath,ee7d0c82,ME Trescothick,ea42ddb9,0,0,0,0,,,,,,0,0,0,0
